icao,name,longitude,latitude,elevation
SBAA,Conceição do Araguaia Airport,-49.301498,-8.34835,653
SBAC,Aracati Dragão do Mar Regional Airport,-37.805135,-4.568896,128
SBAE,Bauru/Arealva–Moussa Nakhal Tobias State Airport,-49.070325,-22.160755,1962
SBAF,Campo Délio Jardim de Mattos Airport,-43.384701,-22.875099,110
SBAM,Amapá Airport,-50.8582,2.07751,45
SBAN,Anápolis Airbase,-48.964298,-16.2292,3731
SBAQ,Araraquara Airport,-48.132999,-21.812,2334
SBAR,Aracaju - Santa Maria Airport,-37.072873,-10.98394,23
SBAT,Piloto Osvaldo Marques Dias Airport,-56.106298,-9.866389,948
SBAU,Araçatuba Airport,-50.424575,-21.141479,1358
SBAX,Romeu Zema Airport,-46.9604,-19.5632,3276
SBBE,Val de Cans/Júlio Cezar Ribeiro International Airport,-48.476207,-1.379279,54
SBBG,Comandante Gustavo Kraemer Airport,-54.112202,-31.390499,600
SBBH,Pampulha - Carlos Drummond de Andrade Airport,-43.950316,-19.85074,2589
SBBI,Bacacheri Airport,-49.231998,-25.4051,3057
SBBP,Estadual Arthur Siqueira Airport,-46.537131,-22.978822,2887
SBBQ,Major Brigadeiro Doorgal Borges Airport,-43.76101,-21.2672,3657
SBBR,Presidente Juscelino Kubitschek International Airport,-47.920834,-15.869167,3497
SBBT,Chafei Amsei Airport,-48.594125,-20.584631,1903
SBBU,Bauru Airport,-49.053799,-22.344999,2025
SBBV,Atlas Brasil Cantanhede International Airport,-60.690648,2.84615,276
SBBW,Barra do Garças Airport,-52.389008,-15.861417,1147
SBBZ,Umberto Modiano Airport,-41.96308,-22.770881,10
SBCA,Coronel Adalberto Mendes da Silva Airport,-53.501208,-25.000323,2481
SBCB,Cabo Frio Airport,-42.071874,-22.921485,22
SBCC,Campo de Provas Brigadeiro Veloso,-54.965401,-9.33394,1777
SBCD,Doctor Carlos Alberto da Costa Neves Airport,-50.939942,-26.787423,3376
SBCF,Tancredo Neves International Airport,-43.966928,-19.63571,2721
SBCG,Campo Grande Airport,-54.673988,-20.469998,1833
SBCH,Serafin Enoss Bertaso Airport,-52.656601,-27.134199,2154
SBCI,Brig. Lysias Augusto Rodrigues Airport,-47.458698,-7.32044,565
SBCJ,Carajás Airport,-50.003372,-6.117841,2064
SBCM,Forquilhinha - Criciúma  Airport,-49.424475,-28.725743,92
SBCN,Nelson Ribeiro Guimarães Airport,-48.606324,-17.725096,2307
SBCO,Canoas Air Force Base,-51.144413,-29.945928,26
SBCP,Bartolomeu Lisandro Airport,-41.301701,-21.698299,59
SBCR,Corumbá International Airport,-57.672772,-19.01193,463
SBCT,Curitiba-Afonso Pena International Airport,-49.1758,-25.5285,2988
SBCV,Caravelas Airport,-39.253101,-17.6523,36
SBCX,Hugo Cantergiani Regional Airport,-51.187647,-29.197183,2472
SBCY,Várzea Grande–Marechal Rondon International Airport,-56.116699,-15.6529,617
SBCZ,Cruzeiro do Sul Airport,-72.769501,-7.59991,637
SBDB,Bonito Airport,-56.452399,-21.2473,1180
SBDN,Presidente Prudente Airport,-51.424599,-22.1751,1477
SBDO,Dourados Airport,-54.926601,-22.2019,1503
SBEA,DIRAD Heliport,-43.370934,-22.867886,61
SBEG,Eduardo Gomes International Airport,-60.049702,-3.03861,264
SBEI,Plataforma Petrobrás PRA-1 Helipad,-40.122036,-22.171507,128
SBEK,Jacareacanga Airport,-57.776901,-6.23316,295
SBEN,Plataforma Fixa Central de Enchova PCE-1 Helipad,-40.693268,-22.709226,73
SBES,Tenente Jorge Henrique Möller Airport,-42.092602,-22.812901,61
SBFI,Cataratas International Airport,-54.489444,-25.594167,786
SBFL,Hercílio Luz International Airport,-48.552502,-27.670279,16
SBFN,Fernando de Noronha Airport,-32.423017,-3.854534,193
SBFS,Farol de São Tomé Heliport,-41.068623,-22.030589,10
SBFZ,Pinto Martins International Airport,-38.532222,-3.775833,83
SBGL,Rio Galeão – Tom Jobim International Airport,-43.250557,-22.809999,28
SBGM,Guajará-Mirim Airport,-65.28486,-10.78641,478
SBGO,Santa Genoveva International Airport,-49.220699,-16.632,2450
SBGP,EMBRAER - Unidade Gavião Peixoto Airport,-48.405102,-21.773701,1998
SBGR,São Paulo/Guarulhos–Governor André Franco Montoro International Airport,-46.469954,-23.431274,2461
SBGU,Tancredo Thomas de Faria Airport,-51.52349,-25.388327,3494
SBGV,Coronel Altino Machado Airport,-41.982869,-18.895882,561
SBGW,Edu Chaves Field,-45.2048,-22.791599,1761
SBHT,Altamira Interstate Airport,-52.253938,-3.253144,368
SBIC,Itacoatiara Airport,-58.481668,-3.126539,142
SBIH,Itaituba Airport,-56.000651,-4.242131,110
SBIL,Bahia - Jorge Amado Airport,-39.033458,-14.815929,15
SBIP,Usiminas Airport,-42.487598,-19.470699,786
SBIT,Francisco Vilela do Amaral Airport,-49.213402,-18.4447,1630
SBIZ,Prefeito Renato Moreira Airport,-47.459999,-5.53129,430
SBJA,Humberto Ghizzo Bortoluzzi Regional Airport,-49.0596,-28.6753,120
SBJD,Comte. Rolim Adolfo Amaro–Jundiaí State Airport,-46.943921,-23.180861,2470
SBJE,Comandante Ariston Pessoa Airport,-40.357338,-2.906425,89
SBJF,Francisco de Assis Airport,-43.386072,-21.791482,2989
SBJH,São Paulo Catarina Executive Airport,-47.165658,-23.426886,2547
SBJI,Ji-Paraná Airport,-61.846675,-10.870743,598
SBJP,Presidente Castro Pinto International Airport,-34.950554,-7.148691,217
SBJR,Jacarepaguá - Roberto Marinho Airport,-43.372194,-22.986773,10
SBJU,Orlando Bezerra de Menezes Airport,-39.269096,-7.21932,1342
SBJV,Lauro Carneiro de Loyola Airport,-48.797401,-26.224501,15
SBKG,Presidente João Suassuna Airport,-35.896057,-7.269662,1646
SBKP,Viracopos International Airport,-47.134502,-23.007404,2170
SBLB,Petrobras P-25 Platform Helideck,-39.916901,-22.1094,70
SBLE,Coronel Horácio de Mattos Airport,-41.277,-12.4823,1676
SBLJ,Lages Airport,-50.281502,-27.782101,3065
SBLN,Lins Airport,-49.729954,-21.663491,1575
SBLO,Governor José Richa Airport,-51.128365,-23.334375,1867
SBLP,Bom Jesus da Lapa Airport,-43.4081,-13.2621,1454
SBLS,Lagoa Santa Air Base,-43.897404,-19.661751,2795
SBMA,João Correa da Rocha Airport,-49.138,-5.36859,357
SBMC,Minaçu Airport,-48.195301,-13.5491,1401
SBMD,Monte Dourado - Serra do Areão Airport,-52.6022,-0.889839,677
SBME,Macaé Benedito Lacerda Airport,-41.765999,-22.343,8
SBMG,Regional de Maringá - Sílvio Name Júnior Airport,-52.016187,-23.47606,1801
SBMK,Mário Ribeiro Airport,-43.818901,-16.706919,2191
SBML,Frank Miloye Milenkowichi–Marília State Airport,-49.926485,-22.196899,2134
SBMM,Petrobras P-20 Platform Helideck,-40.090599,-22.357201,106
SBMN,Ponta Pelada Airport / Manaus Air Base,-59.986301,-3.14604,267
SBMO,Zumbi dos Palmares International Airport,-35.791839,-9.512559,387
SBMP,Plataforma PPM-1 Helipad,-40.763889,-22.795833,200
SBMQ,Macapá - Alberto Alcolumbre International Airport,-51.072201,0.050664,56
SBMS,Dix-Sept Rosado Airport,-37.3643,-5.20192,76
SBMT,Campo de Marte Airport,-46.637798,-23.5091,2371
SBMY,Manicoré Airport,-61.278301,-5.81138,174
SBNA,Plataforma Namorado 2 PNA-2 Helipad,-40.413056,-22.373333,171
SBNF,Ministro Victor Konder International Airport,-48.650979,-26.879431,18
SBNM,Santo Ângelo Airport,-54.169623,-28.282503,1056
SBNT,Natal Air Force Base,-35.2477,-5.91142,171
SBOA,Fazenda Antas Airstrip,-35.252233,-6.974453,440
SBOD,Fazenda Santa Cruz Airport,-49.195556,-7.455833,702
SBOE,Fazenda Americana Airport,-52.095226,-12.587371,1181
SBOF,Fazenda Bandeirantes Airport,-52.534615,-19.318418,1752
SBOG,Fazenda Vereda Grande Airport,-40.817046,-14.784789,3051
SBOH,Fazenda São Sebastião Airport,-53.543618,-16.000866,2077
SBOI,Oiapoque Airport,-51.797056,3.85412,53
SBOK,Fazenda São Vicente Airport,-55.975493,-13.290168,1411
SBOL,Fazenda Santa Lúcia Airstrip,-52.001389,-18.920278,1923
SBON,Fazenda Renascer Airport,-47.452097,-7.615933,764
SBOO,Fazenda Ceita Corê Airport,-56.588897,-20.838737,1555
SBOP,Corinthians Arena Heliport,-46.47767,-23.54413,2644
SBOQ,Fazenda Irmãs Prata Airport,-52.833071,-18.622041,2808
