point,lat,lon,tipo
AA001,-8.396661111,-49.379941667,TERMINAL
AA002,-8.440680556,-49.451466667,TERMINAL
AA003,-8.526127778,-49.398383333,TERMINAL
AA004,-8.355194444,-49.504483333,TERMINAL
AA006,-8.484686111,-49.523008333,TERMINAL
AA007,-8.300022222,-49.22305,TERMINAL
AA008,-8.255961111,-49.151575,TERMINAL
AA009,-8.170533333,-49.204658333,TERMINAL
AA011,-8.341394444,-49.098491667,TERMINAL
AA012,-8.211886111,-49.080116667,TERMINAL
ABAFT,-22.462566667,-55.668286111,TERMINAL
ABASE,-7.7,-34.6,ICAO
ABATE,-14.39116667,-58.83716667,ICAO
ABODE,-26.665711111,-48.852369444,ICAO
ABREU,2.802808333,-60.775061111,ICAO
ABUCU,-4.586166667,-39.13466667,ICAO
ABUSE,-18.25766667,-51.46933333,ICAO
AC001,-4.561811111,-38.023061111,TERMINAL
AC002,-4.654247222,-38.049111111,TERMINAL
AC003,-4.710425,-37.971447222,TERMINAL
AC004,-4.626691667,-37.970302778,TERMINAL
AC006,-4.582586111,-37.844225,TERMINAL
AC008,-4.599127778,-37.891502778,TERMINAL
AC016,-4.511766667,-38.02915,TERMINAL
AC017,-4.357502778,-38.298641667,TERMINAL
AC018,-4.287391667,-37.933091667,TERMINAL
AC271,-4.427288889,-37.638716667,TERMINAL
AC272,-4.483422222,-37.561044444,TERMINAL
AC273,-4.575875,-37.587033333,TERMINAL
AC274,-4.511022222,-37.639822222,TERMINAL
AC276,-4.555163889,-37.765877778,TERMINAL
AC278,-4.538613889,-37.718602778,TERMINAL
ACENA,-28.503133333,-50.861952778,ICAO
ACNEL,-20.180027778,-40.235555556,ICAO
ACRID,-27.1245,-52.724333333,TERMINAL
ADA01,-22.803936111,-42.085727778,TERMINAL
ADA03,-22.819513889,-42.102005556,TERMINAL
AE001,-21.912333333,-49.200833333,TERMINAL
AE003,-22.013,-49.260666667,TERMINAL
AE004,-22.002333333,-49.153666667,TERMINAL
AE006,-22.0775,-49.114166667,TERMINAL
AE012,-22.244,-49.0265,TERMINAL
AE014,-21.93,-49.079,TERMINAL
AE016,-22.1075,-49.098333333,TERMINAL
AE018,-22.347441667,-48.863013889,TERMINAL
AE019,-22.291038889,-48.952216667,TERMINAL
AE021,-22.232336111,-48.864780556,TERMINAL
AE022,-22.214,-49.042333333,TERMINAL
AE024,-22.344666667,-48.861,TERMINAL
AE027,-22.478752778,-48.641566667,TERMINAL
AERON,-9.578,-68.53933333,ICAO
AF001,-22.668447222,-43.480752778,TERMINAL
AF002,-22.773436111,-43.329486111,TERMINAL
AF003,-22.8203,-43.348997222,TERMINAL
AF004,-22.867958333,-43.498994444,TERMINAL
AF006,-22.873830556,-43.628222222,TERMINAL
AF007,-22.863091667,-43.538736111,TERMINAL
AF009,-22.874127778,-43.449291667,TERMINAL
AF011,-22.991683333,-43.421536111,TERMINAL
AF012,-22.956758333,-43.61665,TERMINAL
AF013,-22.884519444,-43.717725,TERMINAL
AF014,-22.7909,-43.639780556,TERMINAL
AFTER,-23.470033333,-50.999255556,ICAO
AG001,-23.068013889,-44.400336111,TERMINAL
AG002,-22.983636111,-44.416175,TERMINAL
AG003,-22.959772222,-44.390866667,TERMINAL
AG004,-22.968366667,-44.346613889,TERMINAL
AG006,-22.974188889,-44.316594444,TERMINAL
AG007,-23.014166667,-44.311166667,TERMINAL
AG008,-23.087961111,-44.346066667,TERMINAL
AG012,-22.974247222,-44.381813889,TERMINAL
AG013,-23.145622222,-44.384552778,TERMINAL
AG016,-23.087163889,-44.472719444,TERMINAL
AG017,-23.016830556,-44.418252778,TERMINAL
AG018,-22.982252778,-44.340002778,TERMINAL
AGTAL,-2.7815,-59.50883333,ICAO
